X,Y,fid,OBJECTID,HISTORYCZN,NUM_SLUP,NUM_EKSP_S,TYP,NAZW_STAC,FUNKCJA_SL,layer,path,icon_url
19.0159129176097,49.8205316555496,"5","2669201",,BBB040647,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0012953018353,49.8198751189141,"9","2554190",3/III,BBB021019,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0031219830313,49.8220161693584,"12","2554196",13/I,BBB021025,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0036340567731,49.8221512596022,"13","2554199",14/I,BBB021028,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9987373471747,49.8203213987833,"14","2553850",2/I,BBB020967,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9984425157421,49.8201656320359,"15","2553851",1/I,BBB020968,,ŻN-10,,Krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0017246933988,49.8217134390451,"22","2554162",10/I,BBB020991,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0012181347103,49.8215797673661,"23","2554163",9/I,BBB020992,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.000470362331,49.8215435504664,"24","2554164",1/II,BBB020993,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0007427330047,49.8214108289266,"25","2554165",8/I,BBB020994,,ŻN-10,,Krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0003320941793,49.8212565164795,"26","2554166",7/I,BBB020995,,ŻN-10,,Narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0022641533371,49.821837787379,"28","2554161",11/I,BBB020990,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0020453030197,49.8180899966586,"30","2554179",,BBB021008,,ŻN-10,,Narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0022223427725,49.8182901577401,"31","2554181",8/III,BBB021010,,ŻN-10,,Rozgałęźno-narożno-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0000629127929,49.8210612479171,"33","2554167",6/I,BBB020996,,ŻN-10,,Rozgałęźno-krańcowo-przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.000273014319,49.8207354654301,"34","2554168",17/I,BBB020997,,ŻN-10,,Krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9992684914359,49.8201119725103,"40","2554154",15/I,BBB020983,,ŻN,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9992655743662,49.8205776035845,"41","2554156",4/I,BBB020985,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9996513372833,49.8207937811624,"42","2554157",5/I,BBB020986,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0079193568025,49.8233091879987,"44","2361727",,BBB284157,,Drewniany,,Narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0073428783524,49.82332587114,"45","2361728",,BBB284159,,Drewniany,,Narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0068116923602,49.8232051790933,"46","2361731",,BBB284164,,ŻN-10,,Narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0045515929131,49.8221177201424,"52","2361709",,BBB284132,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.004814268887,49.8225479596795,"55","2361713",,BBB284138,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.005299957045,49.8227311788689,"56","2361714",,BBB284139,,Drewniany,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0057851651932,49.822915200449,"57","2361715",,BBB284141,,ŻN-10,,Krańcowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0062007122029,49.8230620598545,"58","2361733",,BBB284166,,ŻN-10,,Krańcowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0065479450466,49.8229688224643,"59","2361734",,BBB284168,,ŻN-10,,Rozgałęźno-narożno-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.008104132679,49.823064257736,"64","2361726",,BBB284156,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0066970512979,49.82278115737,"65","2361735",,BBB284169,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9982310527367,49.8196131809393,"71","2462634",,BBB011415,,ŻN-10,,Krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0175144361391,49.8165080463321,"74","2686178",,BBB042033,,ŻN-10,,Narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9990424869216,49.820479593586,"75","2554155",3/I,BBB020984,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0149590294454,49.8195850984978,"76","2669158",,BBB040620,,ŻN-10,,Krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0113097353468,49.8179025683965,"78","2669244",,BBB040674,,Drewniany,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0106538128228,49.8167181083968,"79","2669284",,BBB040698,,ŻN,,Krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0005438886817,49.8176017013679,"81","2554147",,BBB020976,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0079704738189,49.8211085029559,"82","2361762","8",BBB284184,,E 10.5/4.3,,Latarnia,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0069585021854,49.8224674061372,"83","2361736",,BBB284171,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0111132168134,49.8186466079185,"84","2669241",,BBB040671,,ŻN-10,,Rozgałęźno-przelotowo-przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9931326457989,49.8134474146845,"92","2329761",,BBB275826,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9935817584603,49.8136154497799,"93","2329764",,BBB275829,,E,,Narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9934592532686,49.8138617566038,"94","2329765",,BBB275830,,E 10.5/10,,Odporowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9933431033388,49.8140954654428,"95","2329766",,BBB275831,,E 10.5/10,,Narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9938242715277,49.8142115047916,"96","2329767",,BBB275832,,"E 10,5/4,3c",,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9941943772216,49.8142897768632,"97","2329770",,BBB275835,,E 10.5/10,,Krańcowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.993797047531,49.8154449086824,"98","2329808",,BBB275857,,E 10.5/12,,Narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9938229108757,49.8150121700149,"99","2329809",,BBB275858,,E 10.5/4.3,,Narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9939851258035,49.8146231213303,"100","2329810",,BBB275859,,E 10.5/10,,Krańcowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.999281992063,49.8225385237864,"101","2317950",,BBB273043,,DANA,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9987646153202,49.8223763322232,"102","2317971",,BBB273053,,DANA,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9982107748447,49.8222115031556,"103","2317972",5/II,BBB273055,,E 10.5/10,,Rozgałęźno-narożno-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.009757789393,49.8247678347024,"107","2340208",,BBB277842,,E 10.5/6,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0092892351667,49.8246844541688,"108","2340211",,BBB277845,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0088770001134,49.824625119733,"109","2340212",,BBB277846,,E 10.5/10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0083827041793,49.8245335164501,"110","2340214","16",BBB277848,,E,,Rozgałęźno-odporowo-narożno-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0078442182059,49.8244716351081,"111","2340215","17",BBB277849,,DANA,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0073180360886,49.8244045011043,"112","2340217","18",BBB277851,,DANA,,Rozgałęźno-narożno-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0068640691102,49.8243083866885,"113","2340218",12/69,BBB277852,,DANA,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0064290488281,49.8242150012837,"114","2340219",13/69,BBB277853,,DANA,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0059955396315,49.8241240288786,"115","2340220","21",BBB277854,,DANA,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0055755216748,49.8240394747325,"116","2340221","22",BBB277855,,E 10.5/6,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0071622894697,49.8258980193303,"118","2345715","61",BBB279759,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.006607340403,49.8258592489514,"119","2345718","62",BBB279766,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0060817178986,49.8258130370189,"120","2345722","63",BBB279775,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0055113449225,49.8256838583539,"121","2345723","64",BBB279778,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0100457431308,49.8265859464293,"122","2345612","66",BBB279689,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0053036142692,49.8247143642243,"123","2345725",,BBB279782,,ŻN-10,,Odporowo-narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.00516638682,49.8249462082993,"124","2345726",,BBB279784,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0050309764896,49.8252188585385,"125","2345727",,BBB279787,,ŻN-10,,Narożny,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0049638614394,49.8255477166927,"126","2345746","65",BBB279790,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0044061020839,49.8253910706228,"127","2345750","66",BBB279794,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0040354474931,49.8253012635651,"128","2345751","67",BBB279795,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.003574894574,49.8251576454797,"129","2345752",,BBB279796,,ŻN-10,,Rozgałęźno-narożno-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.003153536657,49.8251005996193,"130","2345753",,BBB279797,,ŻN-10,,Krańcowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0095515370375,49.8264583267691,"131","2345649","64",BBB279705,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0092091901331,49.8263704656333,"132","2345650","53",BBB279708,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0080720904281,49.8260454134468,"133","2345651","57",BBB279711,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0085014671649,49.826183287543,"134","2345652","56",BBB279714,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0088739657089,49.8263022152221,"135","2345655","52",BBB279723,,ŻN-10,,Rozgałęźno-krańcowo-przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0077138767768,49.8259334893722,"136","2345714","58",BBB279757,,ŻN-10,,Rozgałęźno-narożno-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.0141601597746,49.8201650316907,"137","2627929",,BBB032576,,ŻN-10,,Krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
19.002202622363,49.8193954823483,"138","2554187",14/III,BBB021016,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9962384961541,49.8193979637077,"139","2462717",,BBB011498,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9957697222951,49.8193062941497,"140","2462718",,BBB011499,,ŻN-10,,Krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.993646938265,49.8170876052443,"141","2462428",,BBB011401,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9936928849949,49.8168164095216,"142","2462430",,BBB011403,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9937381355235,49.8165017450649,"143","2462431",,BBB011404,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9937674220595,49.81612143448,"144","2462432",,BBB011405,,ŻN-10,,Krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9985090341433,49.8200679670619,"145","2462630",,BBB011411,,E 10.5/4.3,,Krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9977844095446,49.8197646880786,"146","2462632",,BBB011413,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.993378532625,49.8180769024224,"147","2462647",,BBB011428,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9932624475882,49.8183034171082,"148","2462650",,BBB011431,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9931492697301,49.8185715291282,"149","2462651",,BBB011432,,ŻN-10,,Przelotowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
18.9928820880313,49.818877916189,"150","2462652",,BBB011433,,ŻN-10,,Rozgałęźno-przelotowo-krańcowy,PW1C Slupy TD przyciete,C:/Projekty/PW1C 11-12/PW1C 11-12.gpkg|layername=PW1C Slupy TD przyciete,./0.png
